X,Y,objectid,provincia,municipio,localidad,código_postal,dirección,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha
2.496778,41.555611,826354,BARCELONA,SANT ANDREU DE LLAVANERES,SANT ANDREU DE LLAVANERES,08392,"CARRETERA CARRETERA NACIONAL II KM. 651,4",D,2.496778,41.555611,1.249,1.129,,,1.239,,,,1.379,,,,MEROIL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
2.498306,41.555694,826355,BARCELONA,SANT ANDREU DE LLAVANERES,SANT ANDREU DE LLAVANERES,08392,"CARRETERA CARRETERA N-II KM. 651,400",I,2.498306,41.555694,1.199,1.069,,,,,,,,,,,OILPRIX,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
2.404361,41.662,826356,BARCELONA,SANT ANTONI DE VILAMAJOR,SANT ANTONI DE VILAMAJOR,08459,"CALLE EUROPA, 2",N,2.404361,41.662,1.269,1.139,,,,,,,,,,,MEROIL,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
2.036556,41.344778,826357,BARCELONA,SANT BOI DE LLOBREGAT,SANT BOI DE LLOBREGAT,08830,CL LLUIS PASCUAL ROCA  57,N,2.036556,41.344778,1.289,1.169,,,1.269,,,,,,,,MONTCLAR,P,dm,"L-V: 06:00-23:00; S: 08:00-14:30 y 16:00-21:00; D: 10:00-14:30 y 16:00-21:00","L-V: 06:00-23:00; S: 08:00-14:30 y 16:00-21:00; D: 10:00-14:30 y 16:00-21:00",,2017-04-15T00:00:00.000Z
2.042222,41.331778,826358,BARCELONA,SANT BOI DE LLOBREGAT,SANT BOI DE LLOBREGAT,08830,CARRETERA SANTA CREU DE CALAFELL DE KM. 10,I,2.042222,41.331778,1.179,1.029,,,1.119,,,,1.249,,,,GALP,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
2.031806,41.324861,826359,BARCELONA,SANT BOI DE LLOBREGAT,SANT BOI DE LLOBREGAT,08830,"CR C-245  GARRAF-BARCELONA KM  8,9 (CARRETERA km 179)",N,2.031806,41.324861,1.309,1.173,,,1.259,,,,1.451,,,,MOLMAR ,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
2.049389,41.333889,826360,BARCELONA,SANT BOI DE LLOBREGAT,SANT BOI DE LLOBREGAT,08830,"CALLE CANTABRIA, 3",N,2.049389,41.333889,1.279,1.149,,,1.234,,,,1.421,,,,BP SAN BOI,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
2.054444,41.331556,826361,BARCELONA,SANT BOI DE LLOBREGAT,SANT BOI DE LLOBREGAT,08830,"POL.IND.LAS SALINAS; AV.DE LA MARINA, S/N",N,2.054444,41.331556,1.117,0.994,,,1.069,,,,1.182,,,,E.S. ALCAMPO SANT BOI,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
2.050194,41.345806,826362,BARCELONA,SANT BOI DE LLOBREGAT,SANT BOI DE LLOBREGAT,08830,"CARRETERA CRTA.STA.CREU CALAFELL KM 7,8 KM. 7,800",D,2.050194,41.345806,1.179,1.019,,,,,,,,,,,GALP,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
2.04825,41.334667,826363,BARCELONA,SANT BOI DE LLOBREGAT,SANT BOI DE LLOBREGAT,08330,"CALLE AZUAGA, 2",N,2.04825,41.334667,1.175,1.019,,,,,,,,,,,EASY FUEL,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
