X,Y,objectid,provincia,municipio,localidad,código_postal,dirección,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha
-2.509361,42.846028,953919,ÁLAVA,ALEGRÍA-DULANTZI,ALEGRIA-DULANTZI,01240,"CL MANISITU, 9",D,-2.509361,42.846028,,1.099,0.726,,,,,,,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.989111,43.044333,953920,ÁLAVA,AMURRIO,LARRINBE,01468,"POLIGONO ZANKUETA, 0",D,-2.989111,43.044333,1.199,1.059,,,1.159,,,,1.319,,,,ESTACIONES GB,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.967611,43.031889,953921,ÁLAVA,AMURRIO,LEZAMA,01450,"CARRETERA A-624 KM. 37,8",D,-2.967611,43.031889,1.239,1.115,,,1.175,,,,1.354,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-28T00:00:00.000Z
-2.616361,42.876861,953922,ÁLAVA,ARRAZUA-UBARRUNDIA,ZURBANO,01520,AUTOVIA N-1 km 358,N,-2.616361,42.876861,1.239,1.125,,1.371,1.185,1.125,,,1.339,,,,AVIA,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.639528,42.941417,953923,ÁLAVA,ARRAZUA-UBARRUNDIA,LUKO,01510,"N-240-B km 11,8",D,-2.639528,42.941417,1.234,1.119,,,1.179,,,,1.349,,,,CEPSA,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-28T00:00:00.000Z
-3.122528,43.123361,953924,ÁLAVA,ARTZINIEGA,ARTZINIEGA,01474,"AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56)",D,-3.122528,43.123361,1.245,1.115,0.785,,1.175,,,,1.345,,,,AVIA ,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.278694,42.866417,953925,ÁLAVA,ASPARRENA,ILARDUIA,01260,"N-IA km 385,1",I,-2.278694,42.866417,1.189,1.089,,,1.149,,,,,,,,CEPSA,P,OM,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.357278,42.670222,953926,ÁLAVA,CAMPEZO/KANPEZU,SANTA CRUZ CAMPEZO,01110,"CR A-132  VITORIA-ESTELLA, 38,1",I,-2.357278,42.670222,1.235,1.079,0.8,,1.2,,,,,,,,PETRONOR,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-28T00:00:00.000Z
-2.518167,42.878556,953927,ÁLAVA,ELBURGO/BURGELU,ELBURGO/BURGELU,01192,"CARRETERA N-1 KM. 364,4",D,-2.518167,42.878556,1.259,1.139,,,1.189,,,,1.359,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-28T00:00:00.000Z
-2.77475,42.82525,953928,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"CALLE TRATADO DE MAASTRICH, 1",D,-2.77475,42.82525,,1.139,0.795,,,,,,,,,,PETRONIEVES,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.77225,42.823778,953929,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"CALLE TRATADO DE PARIS, 6",D,-2.77225,42.823778,1.155,1.016,,,,,,,,,,,EUROCAM,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.770694,42.824389,953930,ÁLAVA,IRUÑA OKA/IRUÑA DE OCA,NANCLARES DE LA OCA,01230,"CALLE A-1 KM 342. POL. IND. SUBILLABIDE (SUVILLAVIDE BIDEA), 2",D,-2.770694,42.824389,,,,,,,,,,0.932,0.932,,GAS NATURAL FENOSA,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.849833,42.635194,953931,ÁLAVA,LABASTIDA,SALINILLAS DE BURADON,01212,CARRETERA N-124 KM. 35,I,-2.849833,42.635194,1.199,1.095,0.824,,1.145,,,,1.339,,,,REPSOL,P,OM,"L-V: 07:00-21:45; S-D: 08:00-21:45","L-V: 07:00-21:45; S-D: 08:00-21:45",,2017-04-28T00:00:00.000Z
-2.578806,42.547639,953932,ÁLAVA,LAGUARDIA,LAGUARDIA,01300,CARRETERA A-124 KM. 65,I,-2.578806,42.547639,1.209,1.099,0.824,,1.149,,,,,,,,REPSOL,P,OM,"L-V: 07:00-21:45; S-D: 08:00-21:45","L-V: 07:00-21:45; S-D: 08:00-21:45",,2017-04-28T00:00:00.000Z
-3.04575,42.755583,953933,ÁLAVA,LANTARÓN,PUENTELARRÁ/LARRAZUBI,01423,CARRETERA A-2122 KM. 11,I,-3.04575,42.755583,1.15,1.02,,,,,,,,,,,AVIA,P,dm,L-D: 07:00-21:00,L-D: 07:00-21:00,,2017-04-28T00:00:00.000Z
-2.951361,43.148639,953934,ÁLAVA,LLODIO,LAUDIO/LLODIO,01400,"CL ARETA, 2",D,-2.951361,43.148639,1.229,1.099,,,1.179,,,,1.369,,,,PETRONOR,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-28T00:00:00.000Z
-2.968,43.138,953935,ÁLAVA,LLODIO,LAUDIO/LLODIO,01400,"AVENIDA ZUMALACARREGUI (C.C. EROSKI), S/N",I,-2.968,43.138,1.159,,,,,,,,,,,,EROSKI,P,dm,L-S: 07:30-21:30,L-S: 07:30-21:30,,2017-04-28T00:00:00.000Z
-2.432278,42.490611,953936,ÁLAVA,OYÓN/OION,OYON-OION,01320,CARRETERA LOGROÑO KM. 10,D,-2.432278,42.490611,1.229,1.109,0.844,,,,,,1.349,,,,E.S. OION,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00,,2017-04-28T00:00:00.000Z
-2.901944,42.81125,953937,ÁLAVA,RIBERA ALTA,POBES,01420,"ACCESO A2622, 0",N,-2.901944,42.81125,1.229,1.089,0.759,,,,,,,,,,E.S. TOCALU S.L.,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00,,2017-04-28T00:00:00.000Z
-2.906944,42.710639,953938,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,RIBABELLOSA,01213,CARRETERA N-I KM. 323,N,-2.906944,42.710639,1.269,1.134,,,1.204,,,,,,,,SHELL,P,OM,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.917639,42.704639,953939,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,RIBABELLOSA,01213,"POLIGONO SUI 1, (C.C. EROSKI), 1",N,-2.917639,42.704639,1.15,0.99,,,1.089,,,,1.19,,,,EROSKI,P,dm,L-S: 10:00-22:00,L-S: 10:00-22:00,,2017-04-28T00:00:00.000Z
-2.913222,42.741361,953940,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,IGAY,01213,"AU AP-68, 63,5",I,-2.913222,42.741361,1.249,1.129,,,1.209,,,,1.369,,,,PETRONOR,P,OM,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.913306,42.743111,953941,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,IGAY,01213,"AU AP-68, 63  D",D,-2.913306,42.743111,1.249,1.129,,,1.209,,,,1.369,,,,PETRONOR,P,OM,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.920667,42.692917,953942,ÁLAVA,RIBERA BAJA/ERRIBERA BEITIA,RIBABELLOSA,01213,"AVENIDA ALAVA, 12",D,-2.920667,42.692917,1.229,1.109,,,1.169,1.155,,,1.319,,,,EESS ROMPETROL,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.394583,42.848944,953943,ÁLAVA,SALVATIERRA/AGURAIN,SALVATIERRA O AGURAIN,01200,CARRETERA ANTIGUA NACIONAL I KM. 375,N,-2.394583,42.848944,1.219,1.089,0.819,,1.179,,,,1.339,,,,GALP,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-28T00:00:00.000Z
-2.320361,42.8635,953944,ÁLAVA,SAN MILLÁN/DONEMILIAGA,DURRUMA/SAN ROMAN DE SAN,01207,"POLIGONO OKITURRI, S/N",D,-2.320361,42.8635,1.251,1.119,0.836,,,,,,1.351,,,,"ANDAMUR ""SAN ROMAN""",P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.324083,42.863583,953945,ÁLAVA,SAN MILLÁN/DONEMILIAGA,DURRUMA/SAN ROMAN DE SAN,01207,"CALLE POLIGONO OKITURRI, 4",D,-2.324083,42.863583,1.251,1.139,0.836,,,1.139,,,,,,,IS-XXI,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.314083,42.871167,953946,ÁLAVA,SAN MILLÁN/DONEMILIAGA,DURRUMA/SAN ROMAN DE SAN,01207,"CALLE DEIDA, 4",D,-2.314083,42.871167,,1.109,,,,,,,,,,,VALCARCE,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.722278,42.829528,953947,ÁLAVA,VITORIA-GASTEIZ,ZUAZO DE VITORIA/ZUHATZU,01195,"VIAL CTRA. N102 KM347, N102",I,-2.722278,42.829528,1.169,1.049,,,,,,,,,,,IBAIA ENERGY,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.700972,42.837111,953948,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01007,"CALLE ALTO DE ARMENTIA, 10",D,-2.700972,42.837111,1.169,1.049,,,,,,,,,,,ARMENTIA,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.716389,42.857194,953949,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,"AVENIDA AVDA. DE LOS HUETOS, 56",N,-2.716389,42.857194,1.245,1.117,0.75,,1.177,,,,1.36,,,,ONAINDIA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-28T00:00:00.000Z
-2.678833,42.868611,953950,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"CALLE PORTAL DE ARRIAGA, 66",N,-2.678833,42.868611,1.245,1.117,,,1.177,,,,1.36,,,,ONAINDIA,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00,,2017-04-28T00:00:00.000Z
-2.656861,42.856194,953951,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01013,"CALLE DEBA, 1",N,-2.656861,42.856194,1.239,1.119,,,1.204,,,,1.381,,,,BP  VITORIA,P,dm,L-D: 24H,L-D: 24H,,2017-04-28T00:00:00.000Z
-2.7105,42.864944,953952,ÁLAVA,VITORIA-GASTEIZ,VITORIA-GASTEIZ,01010,"ALIBARRA, 34",N,-2.7105,42.864944,1.227,1.097,,,1.157,,,,1.338,,,,AVIA,P,dm,L-V: 07:00-21:30,L-V: 07:00-21:30,,2017-04-28T00:00:00.000Z
