localidad;código_postal;dirección;precio_gasolina_95;precio_gasóleo_a;precio_gasóleo_b;precio_gasolina_98;rótulo;fecha
ABENOJAR;13180;CTRA0CM-40110 km 26,000;1307;1177;796;1447;GALP;21
AGUDO;13410;CR N-502, 32,8;1299;1179;0;0;PETRONOR;21
ALAMILLO;13413;AVDA0 LIBERTAD, S/N (CM-4202 km 8);0;1179;0;0;MARIO;21
CINCO CASAS;13720;CARRETERA ARGAMASILLA DE ALBA-CINCO CASAS KM0 17;1229;1119;719;0;CERFAS-OIL;21
ALCAZAR DE SAN JUAN;13600;CARRETERA N-420 KM0 284,227;1284;1129;0;1339;CARREFOUR;21
ALAMEDA DE CERVERA;13690;ESTRADA CM-42, 106/108;1309;1184;804;0;CEPSA;21
ALCAZAR DE SAN JUAN;13600;CR N-420, 284,7;1299;1169;816;1439;REPSOL;21
ALCAZAR DE SAN JUAN;13600;VÍA PG RESID ALCES, 1;1239;1095;0;0;MACMAOIL;21
ALCAZAR DE SAN JUAN;13600;CTRA0 N-420 km 28606;1299;1175;814;1419;CEPSA;21
ALCAZAR DE SAN JUAN;13600;CALLE ALAMEDA, 5;1218;1068;0;0;U0S0 LA LUNA;21
ALCAZAR DE SAN JUAN;13600;CALLE ALBARIÑO, 2;1208;1058;0;0;GASEXPRESS;21
ALCAZAR DE SAN JUAN;13600;CL AVENIDA DE HERENCIA S0N0;1299;1169;0;0;CAMPSA;21
ALCOLEA DE CALATRAVA;13107;CARRETERA N-430 KM0 290;1239;1139;0;0;LIBRE;21
ALCUBILLAS;13391;CALLE REAL, S/N;1289;1169;799;0;CEPSA;21
ALDEA DEL REY;13380;CARRETERA ARGAMASILLA-ALMURADIEL KM0 23,2;1299;1179;0;1439;REPSOL;21
ALMADEN;13400;POLIGONO POZO DE LAS NIEVES, 12;1309;1179;0;1415;HGOIL;21
ALMADEN;13400;AVENIDA RAMON Y CAJAL, 61;1303;1186;796;1424;CEPSA;21
ALMAGRO;13270;CL RONDA SANTO DOMINGO, 3;1299;1169;0;0;REPSOL;21
ALMAGRO;13270;CALLE EJIDO DE SAN JUAN, 0;1289;1179;0;1404;CEPSA;21
ALMEDINA;13328;CARRETERA PUEBLA DEL PRINCIPE KM0 1;1179;1002;659;0;E0S0 SAN GREGORIO;21
ALMODOVAR DEL CAMPO;13580;CARRETERA CM 4110 KM0 6;1299;1189;0;1439;REPSOL;21
ALMURADIEL;13760;AUTOVIA N-IV KM0 232;1309;1189;846;1409;REPSOL;21
ALMURADIEL;13760;AUTOVIA N-4 KM0 232;1309;1189;846;1409;REPSOL;21
ARENALES DE SAN GREGORIO;13610;POLIGONO RIO CORCOLES PARCELA 101, S/N;1319;1199;0;0;LOPEZ SIERRA EE0SS;21
ARENAS DE SAN JUAN;13679;N-420 km 252,1;1329;1209;0;0;REPSOL;21
ARGAMASILLA DE ALBA;13710;CR N-310, 85,1 (N-310 km 85,18);1299;1169;816;1419;REPSOL;21
ARGAMASILLA DE ALBA;13710;CARRETERA NACIONAL 310, KM0 82,500;1299;1169;0;1419;REPSOL;21
ARGAMASILLA DE CALATRAVA;13440;CARRETERA CR-506 KM0 3,300;1299;1189;0;1439;REPSOL;21
ARGAMASILLA DE CALATRAVA;13440;POLIGONO MANZANARES, 6;1249;1109;0;0;GASOLEOSJUCO;21
BOLAÑOS DE CALATRAVA;13260;CALLE CTRA0 C-417, PK0 KM 17,, 17;1239;1128;0;1399;SARAS;21
BOLAÑOS DE CALATRAVA;13260;CARDENAL CISNEROS, S/N;1229;1109;665;1429;CARBURANTES BOLAÑOS S0L0;21
BOLAÑOS DE CALATRAVA;13260;CARRETERA CM 4124 KM0 25,7;1229;1129;0;0;E0S0MAZ;21
BOLAÑOS DE CALATRAVA;13260;CARRETERA DAIMIEL KM0 23;1299;1186;809;0;CEPSA;21
BRAZATORTAS;13450;CARRETERA CABEZARRUBIAS KM0 1;1249;1129;709;0;UNIDAD DE SERVICIO;21
BRAZATORTAS;13450;CARRETERA NACIONAL 420 KM0 143,700;1309;1199;0;1449;GALP LA JUNQUERA;21
BRAZATORTAS;13450;CR N-420 141,9;1299;1189;0;1423;REPSOL;21
CALZADA DE CALATRAVA;13370;CARRETERA C-410 km 310092;1299;1169;739;1389;P G E HIJOS;21
CAMPO DE CRIPTANA;13610;CARRETERA NACIONAL 420 KM0 292,700;1299;1189;0;1359;GALP DISTRIBUCION OIL ESPAÑA, S0A0U0;21
CAMPO DE CRIPTANA;13610;CR N-420, 296;1299;1179;0;0;REPSOL;21
CAMPO DE CRIPTANA;13610;CARRETERA N-420 KM0 295;1299;1179;720;1439;COMBUSTIBLES CRIPTANA,SL;21
CAMPO DE CRIPTANA;13610;AVENIDA DE LA HISPANIDAD, 10;1299;1179;0;1439;PETRONOR;21
CAMPO DE CRIPTANA;13610;CONCEPCION, 135 (CTRA0 N-420);0;1084;669;0;BODEGAS SIMBOLO, SDAD0 COOP0 DE C-LM NTRA0 SRA0 DE CRIPTANA;21
CAMPO DE CRIPTANA;13610;CALLE MOTA, 2;0;1079;0;0;TRAVESA;21
CARRION DE CALATRAVA;13150;CARRETERA CARRION A FERNANCABALLERO km 005;0;1063;669;0;MONTES NORTE ENERGETICOS, S0L0;21
CARRION DE CALATRAVA;13150;CARRETERA NACIONAL 430 KM0 317;1299;1179;0;1439;REPSOL;21
CARRIZOSA;13329;CR CM-3129, 7 (CM-3129 km 11,6);1299;1169;816;1409;PETRONOR;21
CASTELLAR DE SANTIAGO;13750;CALLE BAILEN, 2;1309;1189;834;0;REPSOL;21
CHILLON;13412;CARRETERA ALMADEN-CHILLON KM0 ;1309;1179;795;0;HGOIL;21
CIUDAD REAL;13005;CARRETERA N-430 KM KM0 305,1;1299;1179;0;1419;CEPSA;21
CIUDAD REAL;13197;CARRETERA CTRA PUERTOLLANO KM 195 KM0 ;1259;1139;0;1437;SHELL;21
